GeneID,Symbol,Gene Name / Type,log2FC,pvalue
3081,HGD,"homogentisate 1,2-dioxygenase",0.19000000000000128,0.91604645531605855
285282,RABL3,"RAB, member of RAS oncogene family like 3",2.509999999999998,0.22981940657520436
2960,GTF2E1,general transcription factor IIE subunit 1,1.7249999999999979,0.3921308751490191
101926983,LINC02049,long intergenic non-protein coding RNA 2049,0,NA
105374069,LOC105374069,uncharacterized LOC105374069,0,NA
9515,STXBP5L,syntaxin binding protein 5L,-0.0076775,0.15306796725962135
100847043,MIR5682,microRNA 5682,0,NA
10721,POLQ,DNA polymerase theta,-0.9079999999999999,0.05813162441279664
503582,ARGFX,arginine-fifty homeobox,0.01057,0.2860360770569524
51725,FBXO40,F-box protein 40,0.00662,0.49999999999999956
3059,HCLS1,hematopoietic cell-specific Lyn substrate 1,0.005549999999999972,0.9435085835874496
2804,GOLGB1,golgin B1,9.905000000000001,0.014194321542344367
9657,IQCB1,IQ motif containing B1,0.07000000000000028,0.9738752688114831
55840,EAF2,ELL associated factor 2,0.8634999999999997,0.059952333238872065
6565,SLC15A2,solute carrier family 15 member 2,-0.010000000000000231,0.9825396550323406
286676,ILDR1,immunoglobulin like domain containing receptor 1,2.1125000000000007,0.03936291929669821
101927010,LOC101927010,uncharacterized LOC101927010,-0.004300000000000026,0.9696117158194879
942,CD86,CD86 molecule,0.006109999999999999,0.7574330113719341
846,CASR,calcium sensing receptor,-0.0043830000000000015,0.7991261947554847
1475,CSTA,cystatin A,5.170000000000002,0.151076073127566
131076,MIX23,mitochondrial matrix import factor 23,1.1400000000000006,0.7285998023469102
26355,FAM162A,family with sequence similarity 162 member A,-6.435000000000002,0.5111251967758368
54554,WDR5B,WD repeat domain 5B,-0.9599999999999973,0.6762760382443758
102723582,WDR5B-DT,WDR5B divergent transcript,0.08775,0.8711514482608074
3836,KPNA1,karyopherin subunit alpha 1,1.0249999999999986,0.21169879756247595
107984000,LOC107984000,uncharacterized LOC107984000,-0.35375999999999996,0.2829233509527569
105374071,LOC105374071,uncharacterized LOC105374071,0.4065000000000003,0.19699303357459905
