GeneID,Symbol,Gene Name / Type
54886,PLPPR1,phospholipid phosphatase related 1
105376183,LOC105376183,uncharacterized LOC105376183
105376182,LOC105376182,uncharacterized LOC105376182
570,BAAT,bile acid-CoA:amino acid N-acyltransferase
54534,MRPL50,mitochondrial ribosomal protein L50
7743,ZNF189,zinc finger protein 189
229,ALDOB,"aldolase, fructose-bisphosphate B"
105376184,LOC105376184,uncharacterized LOC105376184
101928470,TMEM246-AS1,TMEM246 antisense RNA 1
84302,PGAP4,post-GPI attachment to proteins GalNAc transferase 4
56254,RNF20,ring finger protein 20
116443,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A
5535,PPP3R2,"protein phosphatase 3 regulatory subunit B, beta"
105376186,LOC105376186,uncharacterized LOC105376186
105376187,LOC105376187,uncharacterized LOC105376187
105376188,LOC105376188,uncharacterized LOC105376188
105376190,LOC105376190,uncharacterized LOC105376190
414319,LINC00587,long intergenic non-protein coding RNA 587
1539,CYLC2,cylicin 2
105376191,LOC105376191,uncharacterized LOC105376191
101928496,LINC01492,long intergenic non-protein coding RNA 1492
105376192,LOC105376192,uncharacterized LOC105376192
105376193,LOC105376193,uncharacterized LOC105376193
101928523,LINC03094,long intergenic non-protein coding RNA 3094
