GeneID,GSM2794663,GSM2794664,GSM2794665,GSM2794666,GSM2794667,GSM2794668,GSM2794669,GSM2794670
6578,3.986,3.455,4.202,4.068,2.902,3.238,2.733,1.778
100507210,0,0,0,0,0,0,0,0.1108
105374117,0.01375,0.02981,0,0,0.04215,0,0.01709,0.02021
6259,58.31,56.65,73.48,72.36,48.79,56.48,53.83,44.76
105374119,0.6663,1.084,1.071,0.9512,0.2554,0,0.2071,0.245
105374118,2.797,3.251,0.6454,1.167,1.144,1.141,0.3211,0.3586
51421,28.49,27.91,30.58,33.35,25.98,22.42,28.11,34.46
102466744,0,0,0.8892,0,0,0.7178,0,0
100616281,0,0,0,0,0,0,0,0
25847,91.01,97.35,116.3,129.2,81.77,115.3,98.55,97.94
80254,10.89,9.598,12.75,12.29,8.194,8.572,8.883,8.568
2047,0.02071,0.02993,0.05915,0.05912,0.04232,0.02387,0.02574,0.03045
339855,0.02547,0.007891,0.01559,0.01039,0.03347,0.01573,0.02262,0.01605
105374121,0,0,0.002334,0.003111,0,0,0.002709,0.009613
105374120,0,0,0,0,0,0,0,0
102724019,0,0,0,0,0,0.003059,0.004398,0
105374122,0.2445,0.258,0.3469,0.1887,0.4864,0.4344,0.2958,0.1652
